"flex href","align-center src","truncate","bg-gray-med_light","ml-1 href","align-center src 2","truncate 2","truncate 3","truncate href","text-black-main","flex-center","flex-center 2","flex-center 3","bg-gray-light","next-m:flex href","flex","min-mt:order-3 src","participant-name","participant-name 2","height-content","height-content 2","height-content 3","height-content 4","h-[18px] src"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/venezuela/","https://cci2.oddsportal.com/country-flags/ve.svg","Venezuela","Liga FUTVE","https://www.oddsportal.com/football/venezuela/liga-futve/","Tomorrow, 05 Jul  - Clausura","1","X","2","B's","https://www.oddsportal.com/football/venezuela/liga-futve/academia-puerto-cabello-metropolitanos-K6CkmPJ6/","02:00","https://www.oddsportal.com/serve/images/team-logo/Men/Ugt4mPk9-bkCHmVIM.png?250704131425","Puerto Cabello","Metropolitanos","2.17","3.23","3.14","16","https://www.oddsportal.com/serve/images/team-logo/Men/E7fWkXTE-tAwcOibj.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/paraguay/","https://cci2.oddsportal.com/country-flags/py.svg","Paraguay","Copa de Primera","https://www.oddsportal.com/football/paraguay/copa-de-primera/","Tomorrow, 05 Jul  - Clausura","1","X","2","B's","https://www.oddsportal.com/football/paraguay/copa-de-primera/recoleta-sportivo-trinidense-SOFaubMk/","02:30","https://www.oddsportal.com/serve/images/team-logo/Men/bi9aL9Ot-WpTP4Ior.png?250704131425","Recoleta","Sportivo Trinidense","3.12","3.22","2.22","18","https://www.oddsportal.com/serve/images/team-logo/Men/j7KmBfmh-f95SHpIq.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/bolivia/","https://cci2.oddsportal.com/country-flags/bo.svg","Bolivia","Copa Pacena","https://www.oddsportal.com/football/bolivia/copa-pacena/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/bolivia/copa-pacena/jorge-wilstermann-nacional-potosi-zoFNw8VQ/","03:00","https://www.oddsportal.com/serve/images/team-logo/Men/zufMGWQt-COG61ACC.png?250704131425","Wilstermann","Nacional Potosi","3.95","3.64","1.75","13","https://www.oddsportal.com/serve/images/team-logo/Men/Cx6zt9Pt-ht99hStl.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/brazil/","https://cci2.oddsportal.com/country-flags/br.svg","Brazil","Paulista U20","https://www.oddsportal.com/football/brazil/paulista-u20/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/brazil/paulista-u20/velo-clube-ec-sao-bernardo-6RAuIJS6/","03:00","https://www.oddsportal.com/serve/images/team-logo/Men/2Zr6OjVE-AmvUk1bn.png?250704131425","Velo Clube U20","EC Sao Bernardo U20","2.99","3.24","2.17","13","https://www.oddsportal.com/serve/images/team-logo/Men/2gii91UE-rNZGThz4.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/brazil/","https://cci2.oddsportal.com/country-flags/br.svg","Brazil","Serie B Superbet","https://www.oddsportal.com/football/brazil/serie-b-superbet/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/brazil/serie-b-superbet/coritiba-volta-redonda-WC8ZsLxQ/","03:00","https://www.oddsportal.com/serve/images/team-logo/Men/GfKwd2CK-8f6Hj6B0.png?250704131425","Coritiba","Volta Redonda","1.71","3.30","5.54","18","https://www.oddsportal.com/serve/images/team-logo/Men/vs9WTHSc-djg8NREp.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/argentina/","https://cci2.oddsportal.com/country-flags/ar.svg","Argentina","Primera C","https://www.oddsportal.com/football/argentina/primera-c/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/argentina/primera-c/ituzaingo-berazategui-zwgLmz0e/","03:05","https://www.oddsportal.com/serve/images/team-logo/Men/pWCwffmh-zBB9fCjk.png?250704131425","Ituzaingo","Berazategui","2.13","2.82","3.56","15","https://www.oddsportal.com/serve/images/team-logo/Men/nTYfAo83-AgFkNVi5.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/brazil/","https://cci2.oddsportal.com/country-flags/br.svg","Brazil","Copa Paulista","https://www.oddsportal.com/football/brazil/copa-paulista/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/brazil/copa-paulista/taubate-portuguesa-santista-EginiKqQ/","03:30","https://www.oddsportal.com/serve/images/team-logo/Men/61fCIFPt-MN1ETII2.png?250704131425","Taubate","Portuguesa Santista","2.49","2.64","3.19","16","https://www.oddsportal.com/serve/images/team-logo/Men/hrfRz1mh-6Z5VtaGc.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/brazil/","https://cci2.oddsportal.com/country-flags/br.svg","Brazil","Acreano U20","https://www.oddsportal.com/football/brazil/acreano-u20/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/brazil/acreano-u20/nauas-ec-santa-cruz-ac-jkexWO1L/","04:00","https://www.oddsportal.com/serve/images/team-logo/Men/t23JgfBK-dxAgLytD.png?250704131425","Nauas EC U20","Santa Cruz U20","15.50","5.75","1.15","3","https://www.oddsportal.com/serve/images/team-logo/Men/OvnNZynh-IXiDBBrq.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/brazil/","https://cci2.oddsportal.com/country-flags/br.svg","Brazil","Copa Paulista","https://www.oddsportal.com/football/brazil/copa-paulista/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/brazil/copa-paulista/piracicaba-primavera-ec-jL5iVxN6/","04:00","https://www.oddsportal.com/serve/images/team-logo/Men/4dRT0n93-hrIg4DfD.png?250704131425","Piracicaba","Primavera","2.33","2.95","3.04","16","https://www.oddsportal.com/serve/images/team-logo/Men/hC9QmZ83-2HmGH17d.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/usa/","https://cci2.oddsportal.com/country-flags/us.svg","USA","USL Championship","https://www.oddsportal.com/football/usa/usl-championship/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/usa/usl-championship/pittsburgh-riverhounds-new-mexico-x82AuRIi/","04:00","https://www.oddsportal.com/serve/images/team-logo/Men/xfuBBdj9-z5dOqhXs.png?250704131425","Pittsburgh","New Mexico","1.80","3.31","4.26","18","https://www.oddsportal.com/serve/images/team-logo/Men/AB86nY73-0SHytUTp.png?250704131425"
